Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Luxembourg,Europe,187971,30022.137,4794,765.683,30,999,159.557,7,1.118,3
Afghanistan,Eastern Mediterranean,175000,449.544,1341,3.445,418,7626,19.59,28,0.072,3
Maldives,South-East Asia,173064,32016.635,2409,445.662,0,297,54.945,0,0,0
Mauritius,Africa,169796,13351.177,0,0,0,904,71.082,0,0,0
Uganda,Africa,163383,357.192,15,0.033,0,3588,7.844,0,0,0
Ghana,Africa,160028,515.008,0,0,0,1442,4.641,0,0,0
Namibia,Africa,157284,6190.078,32,1.259,0,4010,157.818,1,0.039,0
El Salvador,Americas,156364,2410.716,8578,132.25,0,4091,63.072,20,0.308,3
Iceland,Europe,147151,40411.222,16827,4621.101,2011,70,19.224,8,2.197,0
Lao People's Democratic Republic,Western Pacific,144320,1983.627,1577,21.675,165,632,8.687,11,0.151,3
Cambodia,Western Pacific,132708,793.757,2432,14.546,306,3042,18.195,10,0.06,1
Trinidad and Tobago,Americas,130400,9317.693,2633,188.14,0,3659,261.453,31,2.215,0
Rwanda,Africa,129560,1000.292,58,0.448,9,1459,11.264,2,0.015,1
Jamaica,Americas,128213,4329.813,227,7.666,34,2830,95.57,17,0.574,3
Guadeloupe,Americas,126256,31554.218,1728,431.866,0,919,229.679,1,0.25,0
Martinique,Americas,122782,32718.745,8314,2215.501,5098,899,239.564,5,1.332,4
Cameroon,Africa,119240,449.185,0,0,0,1923,7.244,0,0,0
Angola,Africa,98806,300.63,65,0.198,0,1900,5.781,0,0,0
Brunei Darussalam,Western Pacific,93034,21265.935,29492,6741.352,4185,98,22.401,22,5.029,4
Democratic Republic of the Congo,Africa,86154,96.195,0,0,0,1335,1.491,0,0,0
Senegal,Africa,85768,512.233,75,0.448,11,1962,11.718,2,0.012,1
Malawi,Africa,85440,446.629,101,0.528,11,2619,13.691,4,0.021,0
Côte d’Ivoire,Africa,81556,309.179,73,0.277,0,795,3.014,2,0.008,0
Suriname,Americas,78511,13383.348,388,66.14,24,1318,224.672,2,0.341,0
French Guiana,Americas,77866,26069.867,214,71.648,84,394,131.913,3,1.004,1
Malta,Europe,71968,13986.21,696,135.26,72,609,118.353,4,0.777,1
Eswatini,Africa,69307,5973.897,147,12.671,9,1391,119.897,1,0.086,0
French Polynesia,Western Pacific,68975,24554.302,1324,471.329,0,643,228.901,2,0.712,0
Fiji,Western Pacific,64034,7143.104,104,11.601,15,834,93.034,0,0,0
Madagascar,Africa,63791,230.367,132,0.477,0,1373,4.958,7,0.025,0
Guyana,Americas,63055,8016.635,152,19.325,15,1223,155.489,3,0.381,0
Sudan,Eastern Mediterranean,61631,140.552,143,0.326,6,4865,11.095,956,2.18,0
Mauritania,Africa,58652,1261.426,19,0.409,3,980,21.077,1,0.022,0
New Caledonia,Western Pacific,58227,20394.889,3914,1370.938,1258,302,105.78,3,1.051,0
Belize,Americas,56876,14303.822,279,70.166,0,651,163.721,1,0.251,0
Barbados,Americas,56124,19529.883,959,333.71,111,319,111.005,3,1.044,0
Cabo Verde,Africa,55892,10052.753,5,0.899,0,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55085,314.76,510,2.914,59,3099,17.708,24,0.137,4
Gabon,Africa,47543,2136.059,0,0,0,303,13.613,0,0,0
Papua New Guinea,Western Pacific,41533,464.21,231,2.582,0,638,7.131,0,0,0
Jersey,Europe,39490,36634.012,1983,1839.586,229,115,106.683,3,2.783,1
Seychelles,Africa,39427,40089.682,50,50.84,0,163,165.74,0,0,0
Curaçao,Americas,39185,23879.751,252,153.571,102,264,160.884,3,1.828,3
Andorra,Europe,38620,49983.822,621,803.727,186,151,195.431,0,0,0
Guam,Western Pacific,38362,22729.67,1062,629.24,0,331,196.119,9,5.333,0
Burundi,Africa,38178,321.072,44,0.37,0,15,0.126,0,0,0
Togo,Africa,36833,444.912,27,0.326,12,272,3.286,0,0,0
Mayotte,Africa,36703,13453.439,41,15.028,0,187,68.545,0,0,0
Guinea,Africa,36397,277.146,0,0,0,440,3.35,0,0,0
Faroe Islands,Europe,34658,70926.021,275,562.775,0,28,57.301,0,0,0
Aruba,Americas,33732,31594.328,48,44.958,48,212,198.565,1,0.937,1
United Republic of Tanzania,Africa,33620,56.283,0,0,0,798,1.336,0,0,0
Bahamas,Americas,33172,8435.475,37,9.409,0,771,196.061,0,0,0
Lesotho,Africa,32707,1526.76,0,0,0,697,32.536,0,0,0
Haiti,Americas,30400,266.608,47,0.412,0,825,7.235,5,0.044,0
Mali,Africa,30398,150.107,17,0.084,0,725,3.58,3,0.015,0
Benin,Africa,26575,219.208,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26400,166.109,87,0.547,0,1359,8.551,11,0.069,0
Congo,Africa,24020,435.296,0,0,0,378,6.85,0,0,0
Isle of Man,Europe,23574,27723.68,760,893.781,85,80,94.082,0,0,0
Saint Lucia,Americas,22779,12405.038,91,49.557,0,362,197.139,4,2.178,0
Timor-Leste,South-East Asia,22768,1726.883,52,3.944,6,129,9.784,1,0.076,0
Burkina Faso,Africa,20751,99.272,0,0,0,375,1.794,0,0,0
Cayman Islands,Americas,19811,30144.553,438,666.464,438,18,27.389,1,1.522,1
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17015,152.005,37,0.331,0,137,1.224,0,0,0
Equatorial Guinea,Africa,15885,1132.229,1,0.071,0,183,13.044,1,0.071,0
Gibraltar,Europe,15807,46917.574,379,1124.93,198,101,299.783,0,0,0
Bhutan,South-East Asia,15560,2016.568,2423,314.02,441,7,0.907,1,0.13,0
Djibouti,Eastern Mediterranean,15550,1573.887,3,0.304,0,189,19.13,0,0,0
United States Virgin Islands,Americas,15426,14772.325,31,29.686,0,109,104.381,0,0,0
San Marino,Europe,14581,42963.64,161,474.394,57,112,330.014,0,0,0
Guernsey,Europe,14434,22389.402,931,1444.127,0,31,48.086,0,0,0
Central African Republic,Africa,14320,296.495,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,14035,211.863,77,1.162,0,225,3.396,1,0.015,0
Grenada,Americas,13690,12166.402,0,0,0,216,191.961,0,0,0
Liechtenstein,Europe,13222,34123.932,1026,2647.947,0,75,193.563,0,0,0
Gambia,Africa,11963,495.02,24,0.993,15,365,15.103,0,0,0
Greenland,Europe,11825,20828.93,78,137.392,15,20,35.229,2,3.523,0
Yemen,Eastern Mediterranean,11781,39.499,10,0.034,4,2138,7.168,3,0.01,0
Bermuda,Americas,11634,18682.254,121,194.306,0,123,197.517,0,0,0
Dominica,Americas,11248,15624.175,140,194.469,0,61,84.733,4,5.556,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,10155,17643.38,605,1051.132,29,30,52.122,0,0,0
Saint Martin,Americas,9870,25530.924,28,72.428,0,44,113.816,0,0,0
Eritrea,Africa,9716,273.966,15,0.423,1,103,2.904,0,0,0
Sint Maarten,Americas,9573,22324.052,25,58.3,3,85,198.218,0,0,0
Monaco,Europe,9568,24380.797,157,400.061,29,51,129.956,0,0,0
Niger,Africa,8767,36.217,13,0.054,1,307,1.268,0,0,0
Saint Vincent and the Grenadines,Americas,8321,7500.451,10,9.014,1,106,95.547,0,0,0
Solomon Islands,Western Pacific,8150,1186.518,1101,160.289,124,118,17.179,19,2.766,2
Comoros,Africa,8047,925.367,12,1.38,0,160,18.399,0,0,0
Guinea-Bissau,Africa,8027,407.876,5,0.254,0,167,8.486,0,0,0
Sierra Leone,Africa,7665,96.089,0,0,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7455,7612.658,18,18.381,0,135,137.855,0,0,0
Liberia,Africa,7384,145.996,0,0,0,294,5.813,0,0,0
Chad,Africa,7258,44.186,1,0.006,1,190,1.157,0,0,0
Bonaire,Americas,6950,33229.739,27,129.094,6,28,133.875,0,0,0
British Virgin Islands,Americas,6091,20144.194,6,19.843,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5939,2709.905,5,2.281,0,72,32.853,0,0,0
Turks and Caicos Islands,Americas,5867,15153.159,0,0,0,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5536,10407.58,6,11.28,0,42,78.959,0,0,0
Palau,Western Pacific,3864,21357.506,83,458.766,20,6,33.164,0,0,0
Saint Barthélemy,Americas,3726,37693.475,15,151.745,0,4,40.465,0,0,0
Kiribati,Western Pacific,2991,2503.998,77,64.463,6,12,10.046,1,0.837,1
Anguilla,Americas,2555,17031.063,27,179.976,0,9,59.992,0,0,0
Tonga,Western Pacific,1059,1001.94,704,666.067,57,0,0,0,0,0
Saint Pierre and Miquelon,Americas,995,17169.974,0,0,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,472,15036.636,14,446.002,3,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
American Samoa,Western Pacific,304,550.755,220,398.572,12,0,0,0,0,0
Saba,Americas,211,10915.675,3,155.199,2,0,0,0,0,0
Montserrat,Americas,164,3280.656,1,20.004,0,2,40.008,0,0,0
Cook Islands,Western Pacific,141,802.778,116,660.442,9,0,0,0,0,0
Falkland Islands (Malvinas),Americas,116,3330.462,6,172.265,1,0,0,0,0,0
Vanuatu,Western Pacific,49,15.953,31,10.093,30,0,0,0,0,0
Samoa,Western Pacific,41,20.664,8,4.032,8,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
